value,group
4.564089953874209,cases
1040.9478604864903,cases
3117.665149815535,cases
67.50182911770085,cases
10096.092602175802,cases
27118.782663908874,cases
196.08168134174144,cases
2061.1408950762584,cases
35764.91960141382,cases
5899.126877208544,cases
20.803818418589028,control
4387.979163976805,control
5583.1154230732855,control
207.43597264729803,control
5387.394023825778,control
203.47716447400663,control
118.00555921339189,control
314.24037960953365,control
6432.6214523098115,control
5374.093911098556,control
